,estado,producto,conteo
0,DISTRITO FEDERAL,REFRESCO,287463
1,DISTRITO FEDERAL,FUD,207569
2,MÉXICO,REFRESCO,194939
3,DISTRITO FEDERAL,LECHE ULTRAPASTEURIZADA,175640
4,DISTRITO FEDERAL,DETERGENTE P/ROPA,173452
5,MÉXICO,FUD,149141
6,DISTRITO FEDERAL,YOGHURT,136720
8,MÉXICO,DETERGENTE P/ROPA,132862
14,MÉXICO,LECHE ULTRAPASTEURIZADA,116522
19,MÉXICO,JABON DE TOCADOR,97330
35,JALISCO,REFRESCO,81718
37,JALISCO,LECHE ULTRAPASTEURIZADA,81149
43,JALISCO,DETERGENTE P/ROPA,73854
63,JALISCO,FUD,61680
70,JALISCO,CHILES EN LATA,55783
91,NUEVO LEÓN,DETERGENTE P/ROPA,50307
92,NUEVO LEÓN,REFRESCO,49592
93,GUANAJUATO,REFRESCO,49441
112,TLAXCALA,REFRESCO,43904
115,NUEVO LEÓN,LECHE ULTRAPASTEURIZADA,43803
125,TLAXCALA,DETERGENTE P/ROPA,41398
132,NUEVO LEÓN,CHILES EN LATA,40561
136,MICHOACÁN DE OCAMPO,DETERGENTE P/ROPA,40144
139,NUEVO LEÓN,SHAMPOO,39827
151,MICHOACÁN DE OCAMPO,REFRESCO,38016
158,BAJA CALIFORNIA,REFRESCO,37243
162,GUANAJUATO,DETERGENTE P/ROPA,36618
166,YUCATÁN,LECHE ULTRAPASTEURIZADA,35991
174,GUANAJUATO,VARIOS,35278
177,QUINTANA ROO,FUD,34846
179,SONORA,REFRESCO,34731
181,QUINTANA ROO,REFRESCO,34367
193,YUCATÁN,DETERGENTE P/ROPA,33390
194,GUANAJUATO,FUD,33363
196,YUCATÁN,REFRESCO,33235
197,SINALOA,REFRESCO,33115
203,GUANAJUATO,LECHE ULTRAPASTEURIZADA,32633
204,QUINTANA ROO,LAVADORAS,32347
205,TLAXCALA,LECHE ULTRAPASTEURIZADA,32169
207,SONORA,DETERGENTE P/ROPA,31997
211,YUCATÁN,FUD,31885
216,PUEBLA,REFRESCO,31597
218,MICHOACÁN DE OCAMPO,LECHE ULTRAPASTEURIZADA,31175
219,QUINTANA ROO,LECHE ULTRAPASTEURIZADA,31155
223,TLAXCALA,JABON DE TOCADOR,30977
232,TLAXCALA,SHAMPOO,30235
246,TABASCO,REFRESCO,28754
247,QUINTANA ROO,DETERGENTE P/ROPA,28691
249,COAHUILA DE ZARAGOZA,FUD,28613
254,QUERÉTARO,LECHE ULTRAPASTEURIZADA,27868
256,BAJA CALIFORNIA SUR,REFRESCO,27770
266,SINALOA,DETERGENTE P/ROPA,27177
271,PUEBLA,LAVADORAS,27076
272,YUCATÁN,LAVADORAS,27013
276,COAHUILA DE ZARAGOZA,REFRESCO,26889
281,QUERÉTARO,DETERGENTE P/ROPA,26700
282,COAHUILA DE ZARAGOZA,DETERGENTE P/ROPA,26595
285,TABASCO,DETERGENTE P/ROPA,26431
287,TABASCO,LAVADORAS,26361
300,QUERÉTARO,REFRESCO,25494
304,TABASCO,LECHE ULTRAPASTEURIZADA,25331
311,MICHOACÁN DE OCAMPO,CHILES EN LATA,25054
312,TABASCO,FUD,25004
317,PUEBLA,LECHE ULTRAPASTEURIZADA,24864
319,SONORA,SHAMPOO,24758
325,MICHOACÁN DE OCAMPO,JABON DE TOCADOR,24587
341,PUEBLA,DETERGENTE P/ROPA,24078
354,SONORA,JABON DE TOCADOR,23459
356,BAJA CALIFORNIA,DETERGENTE P/ROPA,23395
376,TAMAULIPAS,REFRESCO,22457
378,SINALOA,SHAMPOO,22435
393,SONORA,CHILES EN LATA,21761
409,SINALOA,LAVADORAS,21207
410,COAHUILA DE ZARAGOZA,SHAMPOO,21202
415,TAMAULIPAS,FUD,21113
426,ZACATECAS,DETERGENTE P/ROPA,20884
427,COAHUILA DE ZARAGOZA,LECHE ULTRAPASTEURIZADA,20848
428,SINALOA,COMPONENTES DE AUDIO,20827
430,QUERÉTARO,LAVADORAS,20625
436,PUEBLA,FUD,20397
441,TAMAULIPAS,DETERGENTE P/ROPA,20291
457,BAJA CALIFORNIA,FUD,19967
471,QUERÉTARO,FUD,19574
492,TAMAULIPAS,SHAMPOO,19141
493,BAJA CALIFORNIA,SHAMPOO,19123
521,BAJA CALIFORNIA,JABON DE TOCADOR,18348
528,HIDALGO,REFRESCO,18137
532,OAXACA,LECHE ULTRAPASTEURIZADA,18078
545,BAJA CALIFORNIA SUR,FUD,17776
557,BAJA CALIFORNIA SUR,PANTALLAS,17383
561,ZACATECAS,LECHE ULTRAPASTEURIZADA,17309
568,COLIMA,DETERGENTE P/ROPA,17193
572,TAMAULIPAS,JABON DE TOCADOR,17167
602,HIDALGO,LAVADORAS,16519
630,ZACATECAS,LAVADORAS,16072
643,CHIHUAHUA,DETERGENTE P/ROPA,15982
646,HIDALGO,DETERGENTE P/ROPA,15946
648,ZACATECAS,MAYONESA,15927
649,ZACATECAS,JABON DE TOCADOR,15926
